//TagName	Language	Translation	creation date yyyymmdd	Comments
//  GS ShopBuilder, Copyright (c) 2005 by GS Software AG, Dortmund (www.gs-shopbuilder.com) - Do not remove this copyright notice!			date20020101	
// ©2003 GS ShopBuilder - Droits de traduction réservés pour tous les pays. 			date20020102	
// ©2003 GS ShopBuilder - All Rights Reserved.		All translations rights reserved.	date20020103	
// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
// ©2003 GS ShopBuilder - Med eneret.	 	 	date20020110	dk
// BITTE NUR AM ENDE EINFUEGEN !!!			date20020111	
//Estonian, Latvian, Lithuanian		windows 1257	date20020112	
//Romanian	Rom	Ro, osteuropaeische Sprachgruppe	Date20020112a	Oste
//Lithuanian	lth	lt	Date20020112a	
//Latvian	lvi	lv	Date20020112a	
//estonian 	eti	et	Date20020112a	
//croatian	hrv	Croatian	date20020113	
//serbian (latin)	srl	Serbian latin	date20020113	
//serbian (cyrillic)	srb	Serbian cyrillic	date20020113	
//hungarian	hun	Kosár megtekintése	date20020113	
//Czech	csy	Czech	date20020114	
//Slovenian	slv	Slovenian	date20020114	
//Slovak	sky	Slovak	date20020114	
//Swedish	sve	Swedish	date20020114	
//Hongkong	zhh	Traditional	date20020115	
//Macau	zhm	Traditional	date20020115	
//China	chs	Simplified	date20020115	
//Singapore	zhi	Simplified	date20020115	
//Taiwan	cht	Traditional	date20020115	
//Bahasa Indonesia	ind	Indonesia	date20020115	
//Bahasa Melayu	msb	Bruney	date20020115	
//Bahasa Malaysia	msl	Malaysia	date20020115	
//LangTagBasket	ind	Keranjang	date20020115	
//LangTagBasket	msb	Keranjang	date20020115	
//LangTagBasket	msl	Keranjang	date20020115	
//			date20020115	
//important notice !!!	eng	Lines begining with LangTagFN... MUST NOT contain blanks or special characters.Please use ONLY a-z, A_Z, 0-9 or _ (underscore).	date20020508	
//LangTagCookie	deu	Für unser Login sind Cookies erforderlich. Bitte aktivieren Sie Cookies in Ihren Browserseinstellungen	date20050869	
//LangTagCookie	eng	Please activate Cookies in your browser settings.	date20050869	
//LangTagFinancialInstitution	deu	Geldinstitut	date20030301	
//LangTagFinancialInstitution	eng	Financial Institution	date20030301	
//LangTagTextQuantity	deu	Menge	date20030301	
//LangTagTextQuantity	eng	Quantity	date20030301	
//LangTagTextSaveData	deu	Eingegebene Formulardaten speichern.<br />(Die Daten werden als Cookie abgespeichert.)	date20030301	Tabellenüberschrift buy3.htm
//LangTagTextSaveData	eng	Save the formular data.(Data are saved in a cookie)	date20030301	
//TagName	Language	Translation	creation date yyyymmdd	Comments
//wichtige Bemerkung !!!	deu	Zeilen, die mit LangTagFN... beginnen, duerfen keine Leerzeichen und keine Sonderzeichen enthalten, Nur a-z, A-Z, 0-9 und _ verwenden !!	date20030508	
LangTag__FieldTextUnitPrice	rom	Pret unitar	date20090213
LangTag__FieldTotalAmount	deu	Rechnungsbetrag	date20060119
LangTag__FieldTotalAmount	eng	Invoice_total	date20060119
LangTag__FieldTotalAmount	rom	Valoarea totala a facturii	date20090213
LangTag__FieldTotalPrice	deu	Gesamtpreis	date20060119
LangTag__FieldTotalPrice	eng	TotalPrice	date20060119
LangTag__FieldTotalPrice	rom	Valoarea totala	date20090213
LangTag__FieldValue	deu	Wert	date20060119
LangTag__FieldValue	eng	value	date20060119
LangTag__FieldValue	rom	Valoare	date20090213
LangTag__FieldZipCode	deu	PLZ	date20060119
LangTag__FieldZipCode	eng	Postcode_Zipcode	date20060119
LangTag__FieldZipCode	rom	Cod postal	date20090213
LangTag__FinancialInstitution	deu	Geldinstitut	date20060119
LangTag__FinancialInstitution	eng	FinancialInstitution	date20060119
LangTag__FinancialInstitution	rom	Banca	date20090213
LangTag__IclearDiscount	deu	Rabatt	date20060119
LangTag__IclearDiscount	eng	Discount	date20060119
LangTag__IclearDiscount	rom	Reducere de pret	date20090213
LangTag__IclearPostage	deu	Versandkosten	date20060119
LangTag__IclearPostage	eng	DeliveryCharges	date20060119
LangTag__IclearPostage	rom	Costuri de livrare	date20090213
LangTag__IssueNumber	deu	Pruefnummer	date20060119
LangTag__IssueNumber	eng	IssueNumber_SwitchSolo	date20060119
LangTag__IssueNumber	rom	Numar de control	date20090213
LangTag__MonthExpirationDate	deu	GueltigkeitMonat	date20060119
LangTag__MonthExpirationDate	eng	ExpirationDateMonth	date20060119
LangTag__MonthExpirationDate	rom	Valabilitate luna	date20090213
LangTag__SecurityCode	deu	ZweitePruefnummer	date20060119
LangTag__SecurityCode	eng	SecurityCode	date20060119
LangTag__SecurityCode	rom	Al doilea numar de control	date20090213
LangTag__SubTotal	deu	Zwischensumme	date20060119
LangTag__SubTotal	eng	Subtotal	date20060119
LangTag__SubTotal	rom	Subtotal	date20090213
LangTag__TermsAndCond	deu	AGB	date20060119
LangTag__TermsAndCond	eng	Conditions	date20060119
LangTag__TermsAndCond	rom	Termeni si conditii	date20090213
LangTag__TotalAmount	deu	Rechnungsbetrag	date20060119
LangTag__TotalAmount	eng	Invoice_total	date20060119
LangTag__TotalAmount	rom	Valoarea totala a facturii	date20090213
LangTag__YearExpirationDate	deu	GueltigkeitJahr	date20060119
LangTag__YearExpirationDate	eng	ExpirationDateYear	date20060119
LangTag__YearExpirationDate	rom	Valabilitate an	date20090213
LangTagAccountData	deu	Kontodaten	date20051012
LangTagAccountData	eng	Account data	date20051012
LangTagAccountData	rom	Datele de cont	date20090213
LangTagAccountHolder	deu	Kontoinhaber	date20030301
LangTagAccountHolder	eng	Account Holder	date20030301
LangTagAccountHolder	rom	Numele posesorului de cont	date20090213
LangTagAccountNumber	deu	Kontonummer	date20030301
LangTagAccountNumber	eng	Account Number	date20030301
LangTagAccountNumber	rom	Numarul contului	date20090213
LangTagActivate	deu	Aktivieren	date20080118
LangTagActivate	eng	Activate	date20080118
LangTagActivate	rom	Activeaza	date20090213
LangTagActivationCode	deu	Aktivierungscode	date20080118
LangTagActivationCode	eng	Activation code	date20080118
LangTagActivationCode	rom	Cod de activare	date20090213
LangTagAddress	deu	Anschrift	date20041215
LangTagAddress	eng	Address	date20041215
LangTagAddress	rom	Adresa	date20090213
LangTagAdressData	deu	Adressdaten	date20050112
LangTagAdressData	eng	Address Data	date20050112
LangTagAdressData	rom	Adresa	date20090213
LangTagArticleNotFound	deu	Folgende Artikel wurden nicht gefunden	date20060907
LangTagArticleNotFound	eng	Article not found	date20060907
LangTagArticleNotFound	rom	Articolul nu a fost gasit	date20090213
LangTagAutoCrossSelling	deu	Kunden, die diesen Artikel bestellt haben, haben auch bestellt...	date20051012
LangTagAutoCrossSelling	eng	Customer, who order this article, order also...	date20051012	
LangTagAutoCrossSelling	rom	Vizitatorii care au comdandat acest produs, au mai comandat de asemenea si ...	date20090213	
LangTagAvailability	deu	Verfügbarkeit	date20060125	
LangTagAvailability	eng	Availability	date20060125	
LangTagAvailability	rom	Disponibilitate	date20090213	
LangTagB2BLogout	deu	Logout	date20050412	
LangTagB2BLogout	eng	Logout	date20050412	
LangTagB2BLogout	rom	Logout	date20090213	
LangTagBackToCash	deu	Zurück zur Auswahl der Zahlungsvariante	date20060606	
LangTagBackToCash	eng	back to cash	date20060606	
LangTagBackToCash	rom	Inapoi la alegerea variantei de plata	date20090213	
LangTagBankCodeNumber	deu	BLZ	date20030301	
LangTagBankCodeNumber	eng	Bank Code	date20030301	
LangTagBankCodeNumber	rom	Codul SWIFT al bancii	date20090213	
LangTagBasket	deu	Warenkorb	date20030201	LinkMenü/Tabellenüberschrift
LangTagBasket	eng	Basket	date20030202	
LangTagBasket	rom	Cos de cumparaturi	date20090213	
LangTagBestseller	deu	Bestseller	date20051012	
LangTagBestseller	eng	Bestseller	date20051012	
LangTagBestseller	rom	Bestseller	date20090213	
LangTagBestsellerPg	deu	Bestseller in dieser Warengruppe	date20090114	
LangTagBestsellerPg	eng	Bestseller in this product group	date20090114	
LangTagBestsellerPg	rom	Cel mai bine vindut produs in aceasta grupa de produse	date20090213	
LangTagBillingAddress	deu	Rechnungsanschrift	date20041202	
LangTagBillingAddress	eng	Billing address	date20041202	
LangTagBillingAddress	rom	Adresa de facturare	date20090213	
LangTagBrand	deu	Marke	date20051230	
LangTagBrand	eng	Brand	date20051230	
LangTagBrand	rom	Marca	date20090213	
LangTagButtonBack	deu	Zurück	date20030301	Buttonbeschriftung buy2
LangTagButtonBack	eng	Back	date20030301	
LangTagButtonBack	rom	Inapoi	date20090213	
LangTagButtonBackToOrder	deu	Korrigieren	date20030301	Seite buy3
LangTagButtonBackToOrder	eng	Back to Order Form	date20030301	
LangTagButtonBackToOrder	rom	Inapoi la formularul de comanda	date20090213	
LangTagButtonCloseWindow	deu	Fenster schließen	date20030301	Buttonbeschriftung cond
LangTagButtonCloseWindow	eng	Close Window	date20030301	
LangTagButtonCloseWindow	rom	Inchide fereastra	date20090213	
LangTagButtonCond	deu	AGB	date20030301	Buttonbeschriftung buy2
LangTagButtonCond	eng	Conditions	date20030301	
LangTagButtonCond	rom	Termeni de utilizare	date20090213	
LangTagButtonOrderForm	deu	Weiter zum Bestellformular	date20030301	Buttonbeschriftung Seite basket, buy
LangTagButtonOrderForm	eng	Go forward to Order Form	date20030301	
LangTagButtonOrderForm	rom	Catre formularul de comanda	date20090213	
LangTagButtonPrintConditions	deu	AGB drucken	date20030301	Buttonbeschriftung cond
LangTagButtonPrintConditions	eng	Print Conditions	date20030301	
LangTagButtonPrintConditions	rom	Tipareste conditiile de utilizare	date20090213	
LangTagButtonPrintOrder	deu	Bestellung drucken	date20030301	Buttonbeschriftung buy3
LangTagButtonPrintOrder	eng	Print Order	date20030301	
LangTagButtonPrintOrder	rom	Tipareste comanda	date20090213	
LangTagButtonSearch	deu	Schnellsuche	date20030301	Buttonbeschriftung Suche
LangTagButtonSearch	eng	Search	date20030301	
LangTagButtonSearch	rom	Cautare	date20090213	
LangTagButtonSubmit	deu	kostenpflichtig bestellen	date20030301	Buttonbeschriftung buy2, buy3
LangTagButtonSubmit	eng	charge order	date20030301	
LangTagButtonSubmit	rom	Expediaza comanda	date20090213	
LangTagCashDiscount	deu	Rabatt (Zahlungsart)	date20040129	
LangTagCashDiscount	eng	Discount (method of payment)	date20040129	
LangTagCashDiscount	rom	Reducere de pret	date20090213	
LangTagCashInclude	deu	inkl.	date20040211	
LangTagCashInclude	eng	incl.	date20040211	
LangTagCashInclude	rom	incl.	date20090213	
LangTagChangeAddress	deu	Adressdaten ändern	date20050112	
LangTagChangeAddress	eng	Change Address Data	date20050112	
LangTagChangeAddress	rom	Modificarea adresei	date20090213
LangTagCharset	deu	iso-8859-1	date20020116
LangTagCharset	eng	iso-8859-1	date20020116
LangTagCharset	rom	windows-1250	date20090213
LangTagCharsetIso	deu	iso-8859-1	date20020116
LangTagCharsetIso	eng	iso-8859-1	date20020116
LangTagCharsetIso	rom	iso-8859-2	date20090213
LangTagCharsetWindows	deu	windows-1252	date20020116
LangTagCharsetWindows	eng	windows-1252	date20020116
LangTagCharsetWindows	rom	windows-1250	date20090213
LangTagCheckboxConditions	deu	AGB	date20030301
LangTagCheckboxConditions	eng	Conditions	date20030301
LangTagCheckboxConditions	rom	Termeni de utilizare	date20090213
LangTagCheckboxConditionsValue	deu	gelesen	date20030301
LangTagCheckboxConditionsValue	eng	checked	date20030301
LangTagCheckboxConditionsValue	rom	Accept	date20090213
LangTagCloseAll	deu	alle schließen	date20050126
LangTagCloseAll	eng	close all	date20050126
LangTagCloseAll	rom	inchide toate	date20090213
LangTagContentLanguage	deu	DE	date20020116
LangTagContentLanguage	eng	EN	date20020116
LangTagContentLanguage	rom	RO	date20090213
LangTagCookie	deu	Für unser Login sind Cookies erforderlich. Bitte aktivieren Sie Cookies in Ihren Browserseinstellungen	date20051003
LangTagCookie	eng	Please activate Cookies in your browser settings.	date20051003
LangTagCookie	rom	Va rugam sa activati cookies in setarile browser-ului dumneavoastra.	date20090213
LangTagCoupon	deu	Gutschein	date20051012
LangTagCoupon	eng	coupon	date20051012
LangTagCoupon	rom	Cupon	date20090213
LangTagCouponCashed	deu	Gutschein eingelöst!	date20051031
LangTagCouponCashed	eng	Coupon cashed	date20051031
LangTagCouponCashed	rom	Cuponul a fost luat in considerare	date20090213
LangTagCouponCode	deu	Gutschein Code	date20051012
LangTagCouponCode	eng	coupon code	date20051012
LangTagCouponCode	rom	Cod cupon	date20090213
LangTagCouponText	deu	"Sie haben hier die Möglichkeit Ihren Gutschein einzulösen. Tragen Sie den Gutscheincode ein und klicken Sie auf ""ok""."	date20051012
LangTagCouponText	eng	"You are able to honor a coupon here. Enter your coupon&#039;s number and press ""ok""."	date20051012
LangTagCouponText	rom	Aveti posibilitatea sa beneficiati aici de promotie. Va rugam sa introduceti codul de pe cupon si sa apasati butonul OK.	date20090213
LangTagCreateCustomer	deu	Noch kein Kunde?	date20060104
LangTagCreateCustomer	eng	No customer?	date20060104
LangTagCreateCustomer	rom	Client nou?	date20090213
LangTagCreateCustomerText	deu	Hier können Sie sich als Kunde registrieren lassen. Nach erfolgreicher Registrierung erhalten Sie von uns eine Email mit Ihren Login-Daten.	date20060104
LangTagCreateCustomerText	eng	You are able to register yourself as one of our customers here. After your successfull registration we will send you an email with your login data.	date20060104
LangTagCreateCustomerText	rom	Aici va puteti inregistra. Dupa incheierea procesului de inregistrare va vom trimite prin e-mail datele dumneavoastra de acces.	date20090213
LangTagCreditCard	deu	Kreditinstitut	date20030301
LangTagCreditCard	eng	Credit Card	date20030301
LangTagCreditCard	rom	Carte de credit	date20090213
LangTagCreditCardData	deu	Kreditkartendaten	date20060412
LangTagCreditCardData	eng	Credit card data	date20060412
LangTagCreditCardData	rom	Datele cartii de credit	date20090213
LangTagCreditCardHolder	deu	Kreditkarteninhaber	date20030301
LangTagCreditCardHolder	eng	Credit Card Holder	date20030301
LangTagCreditCardHolder	rom	Numele posesorului de card	date20090213
LangTagCreditCardNumber	deu	Kreditkartennummer	date20030301
LangTagCreditCardNumber	eng	Credit Card Number	date20030301
LangTagCreditCardNumber	rom	Numarul cartii de credit	date20090213
LangTagCrossSellingText	deu	Zu diesem Artikel passen auch folgende Produkte	date20040201
LangTagCrossSellingText	eng	The following products also fit to this article	date20040201
LangTagCrossSellingText	rom	La acest articol va mai recomandam si urmatoarele produse	date20090213
LangTagCustomer	deu	Kunde	date20060921
LangTagCustomer	eng	Customer	date20060921
LangTagCustomer	rom	Client	date20090213
LangTagCustomerCreated	deu	Sie wurden als Kunde registriert!	date20060104
LangTagCustomerCreated	eng	You were successfully registred as our customer!	date20060104
LangTagCustomerCreated	rom	Inregistrare reusita.	date20090213
LangTagDear	deu	Sehr geehrte/r	date20051026
LangTagDear	eng	Dear	date20051026
LangTagDear	rom	Stimate	date20090213
LangTagDelete	deu	Löschen	date20060918
LangTagDelete	eng	Delete	date20060918
LangTagDelete	rom	Sterge	date20090213
LangTagDescription	deu	Beschreibung	date20050114
LangTagDescription	eng	Description	date20050114
LangTagDescription	rom	Descriere	date20090213
LangTagDetails	deu	Details	date20030301
LangTagDetails	eng	Details	date20030301
LangTagDetails	rom	Detalii	date20090213
LangTagDirectOrder	deu	Direkt-Bestellung	date20060905
LangTagDirectOrder	eng	Direct order	date20060905
LangTagDirectOrder	rom	Comanda directa	date20090213
LangTagDirektOrderText	deu	Hier können Sie Ihre Wunschartikel direkt über die Artikelnummer in den Warenkorb legen.	date20060905
LangTagDirektOrderText	eng	Hier können Sie Ihre Wunschartikel direkt über die Artikelnummer in den Warenkorb legen.	date20060905	
LangTagDirektOrderText	rom	Aici puteti introduce direct numarul articolului dorit.	date20090213	
LangTagEAN	deu	EAN	date20051230	
LangTagEAN	eng	EAN	date20051230	
LangTagEAN	rom	EAN	date20090213	
LangTagEANISBN	deu	EAN/ISBN	date20051230	
LangTagEanISBN	deu	EAN/ISBN	date20060106	
LangTagEANISBN	eng	EAN/ISBN	date20051230	
LangTagEanISBN	eng	EAN/ISBN	date20060106	
LangTagEanISBN	rom	EAN/ISBN	date20090213	
LangTagEanISBN	rom	EAN/ISBN	date20090213	
LangTagEanISBN	rom	EAN/ISBN	date20090213	
LangTagEanISBN	rom	EAN/ISBN	date20090213	
LangTagEmail	deu	Email	date20030222	LinkMenü
LangTagEmail	eng	Email	date20030223	
LangTagEmail	rom	Email	date20090213	
LangTagEmailAlreadyExist	deu	Ihre Email-Adresse ist bereits vorhanden!	date20060104
LangTagEmailAlreadyExist	eng	Your email address already exists!	date20060104
LangTagEmailAlreadyExist	rom	Adresa dumneavoastra de e-mail exista deja in baza noastra de date.	date20090213
LangTagEmailDeleted	deu	Ihre Email-Adresse wurde gelöscht!	date20060106
LangTagEmailDeleted	eng	Your email address is deleted!	date20060106
LangTagEmailDeleted	rom	Adresa dumneavoastra de e-mail a fost stearsa!	date20090213
LangTagEmailFormat	deu	EmailFormat	date20051103
LangTagEmailFormat	eng	EmailFormat	date20051103
LangTagEmailFormat	rom	EmailFormat	date20090213
LangTagEmailFormatText	deu	Text	date20041215
LangTagEmailFormatText	eng	Text	date20041215
LangTagEmailFormatText	rom	Text	date20090213
LangTagEmailNotDeletable	deu	Ihre Email-Adresse konnte nicht gelöscht werden!	date20060106
LangTagEmailNotDeletable	eng	Your email address is temporay not deletable!	date20060106
LangTagEmailNotDeletable	rom	Adresa dumneavoastra de e-mail nu poate fi stearsa pentru moment.	date20090213
LangTagEmailNotExisting	deu	Ihre Email-Adresse ist nicht vorhanden!	date20060106
LangTagEmailNotExisting	eng	Your email address is not existing!	date20060106
LangTagEmailNotExisting	rom	Adresa de e-mail introdusa nu exista!	date20090213
LangTagEmailSaved	deu	Ihre Email-Adresse wurde gespeichert!	date20060104
LangTagEmailSaved	eng	Your email address was saved!	date20060104
LangTagEmailSaved	rom	Adresa dumneavoastra de e-mail a fost salvata.	date20090213
LangTagEmailWrong	deu	Ihre Email-Adresse ist falsch!	date20060104
LangTagEmailWrong	eng	Your email address is not correct!	date20060104
LangTagEmailWrong	rom	Adresa dumneavoastra de e-mail nu este corecta.	date20090213
LangTagEnter	deu	Eintragen	date20060104
LangTagEnter	eng	Enter	date20060104
LangTagEnter	rom	Introduceti	date20090213
LangTagEnterEmail	deu	Sie müssen Ihre Email-Adresse eingeben!	date20060104
LangTagEnterEmail	eng	You have to enter your email address!	date20060104
LangTagEnterEmail	rom	Trebuie sa introduceti o adresa de e-mail valida.	date20090213
LangTagErrorMissingRootPathFile	deu	Web-Server-Fehler - missing root path file!	date20041210
LangTagErrorMissingRootPathFile	eng	Web-server-error - missing root path file!!	date20041210
LangTagErrorMissingRootPathFile	rom	Web-server-error - missing root path file!!	date20090213
LangTagExpirationDate	deu	Gültig bis	date20030301
LangTagExpirationDate	eng	Expiration Date	date20030301
LangTagExpirationDate	rom	Valabila pana la	date20090213
LangTagExpirationMonth	deu	GültigkeitMonat	date20030502
LangTagExpirationMonth	eng	ExpirationMonth	date20030502
LangTagExpirationMonth	rom	ExpiraLuna	date20090213
LangTagExpirationYear	deu	GültigkeitJahr	date20030502
LangTagExpirationYear	eng	ExpirationYear	date20030502
LangTagExpirationYear	rom	ExpiraAnul	date20090213
LangTagExtendedSearch	deu	Suche	date20051012
LangTagExtendedSearch	eng	Search	date20051012
LangTagExtendedSearch	rom	Cauta	date20090213
LangTagExtendedSearchText	deu	Die erweiterte Suche bietet Ihnen die Möglichkeit, Ihre Suche feiner einzugrenzen.	date20051012
LangTagExtendedSearchText	eng	The extended search allows you to precise your search criteria.	date20051012
LangTagExtendedSearchText	rom	Cautarea avansata va ofera posibilitatea sa stabiliti criterii de cautare mai precise.	date20090213
LangTagFAQ	deu	Fragen	date20050601
LangTagFAQ	eng	FAQ	date20050601
LangTagFAQ	rom	Intrebari frecvente	date20090213
LangTagFAQs	deu	FAQ's	date20060927
LangTagFAQs	eng	FAQ's	date20060927
LangTagFAQs	rom	FAQ’s	date20090213
LangTagFaqText	deu	Häufig gestellte Fragen	date20060926
LangTagFaqText	eng	Frequently Asked Questions	date20060926
LangTagFaqText	rom	Interbarile cele mai frecvente	date20090213
LangTagFieldAddress	deu	Straße	date20030301
LangTagFieldAddress	eng	Address Line 1	date20030301
LangTagFieldAddress	rom	Adresa (linia 1)	date20090213
LangTagFieldAddress2	deu	Adressenzusatz	date20030301
LangTagFieldAddress2	eng	Address Line 2	date20030301
LangTagFieldAddress2	rom	Adresa (linia 2)	date20090213
LangTagFieldBuy2Message	deu	Weitere Nachricht	date20041209
LangTagFieldBuy2Message	eng	Your message	date20041209	
LangTagFieldBuy2Message	rom	Mesajul dumneavoastra	date20090213	
LangTagFieldCity	deu	Ort	date20030301	
LangTagFieldCity	eng	Town/City	date20030301	
LangTagFieldCity	rom	Localitate	date20090213	
LangTagFieldCompany	deu	Firma	date20030301	
LangTagFieldCompany	eng	Company	date20030301	
LangTagFieldCompany	rom	Nume firma	date20090213	
LangTagFieldCustomerNR	deu	KundenNr	date20040129	
LangTagFieldCustomerNR	eng	CustomerNo	date20040129	
LangTagFieldCustomerNR	rom	Numar de client	date20090213	
LangTagFieldDelivery	deu	Versandart	date20051103	
LangTagFieldDelivery	eng	DeliveryMode	date20051103	
LangTagFieldDelivery	rom	Mod de expediere	date20090213	
LangTagFieldDhlTrackingNumber	deu	DHL	Tracking-Nummer	date20061116
LangTagFieldDhlTrackingNumber	eng	DHL	tracking-number	date20061116
LangTagFieldDhlTrackingNumber	rom	DHL	date20090213
LangTagFieldDiscount	deu	Kundenrabatt	date20051012
LangTagFieldDiscount	eng	Customer allowance	date20051012
LangTagFieldDiscount	rom	Reducere de pret	date20090213
LangTagFieldEmail	deu	Email	date20030301
LangTagFieldEmail	eng	Email	date20030301
LangTagFieldEmail	rom	Email	date20090213
LangTagFieldEmailFormat	deu	Gewünschtes Format der Bestätigungsemail	date20041209
LangTagFieldEmailFormat	eng	Email format	date20041209
LangTagFieldEmailFormat	rom	Formatul ales pentru confirmarea comenzii	date20090213
LangTagFieldFax	deu	Fax	date20030301
LangTagFieldFax	eng	Fax	date20030301
LangTagFieldFax	rom	Fax	date20090213
LangTagFieldFilled	deu	Sie müssen das folgendes Feld ausfüllen	date20060104
LangTagFieldFilled	eng	Your have to fill in	date20060104
LangTagFieldFilled	rom	Trebuie sa completati urmatorul camp.	date20090213
LangTagFieldFirmVATId	deu	UstID	date20041221
LangTagFieldFirmVATId	eng	Tax Number	date20041221
LangTagFieldFirmVATId	rom	Cod fiscal	date20090213
LangTagFieldFirstName	deu	Vorname	date20030301
LangTagFieldFirstName	eng	First Name	date20030301
LangTagFieldFirstName	rom	Nume	date20090213
LangTagFieldFormToAddress	deu	Anrede	date20030301
LangTagFieldFormToAddress	eng	Title	date20030301
LangTagFieldFormToAddress	rom	Formula de adresare	date20090213
LangTagFieldLastName	deu	Nachname	date20030301
LangTagFieldLastName	eng	Last Name	date20030301
LangTagFieldLastName	rom	Prenume	date20090213
LangTagFieldLastNameSender	deu	Absender	date20040207
LangTagFieldLastNameSender	eng	Sender	date20040207
LangTagFieldLastNameSender	rom	Expeditor	date20090213
LangTagFieldLocDiscount	deu	Rabatt	date20051103
LangTagFieldLocDiscount	eng	Discount	date20051103
LangTagFieldLocDiscount	rom	Reducere de pret	date20090213
LangTagFieldLocTotal	deu	Summe	date20051103
LangTagFieldLocTotal	eng	OrderTotal	date20051103
LangTagFieldLocTotal	rom	Suma totala	date20090213
LangTagFieldMessage	deu	Weitere Nachricht?	date20040128
LangTagFieldMessage	eng	Your message	date20040128
LangTagFieldMessage	rom	Mesajul dumneavoastra	date20090213
LangTagFieldMessage2	deu	Nachricht	date20051103
LangTagFieldMessage2	eng	Message	date20051103
LangTagFieldMessage2	rom	Mesaj	date20090213
LangTagFieldName	deu	Name	date20051024
LangTagFieldName	eng	Name	date20051024
LangTagFieldName	rom	Nume	date20090213
LangTagFieldPayment	deu	Zahlungsart	date20051103
LangTagFieldPayment	eng	Payment	date20051103
LangTagFieldPayment	rom	Modalitate de plata	date20090213
LangTagFieldPaymentCharge	deu	Gebühr	date20051103
LangTagFieldPaymentCharge	eng	Charge	date20051103
LangTagFieldPaymentCharge	rom	Comisioane	date20090213
LangTagFieldPaymentCost	deu	Zahlungskosten	date20060418
LangTagFieldPaymentCost	eng	Costs of payment	date20060418
LangTagFieldPaymentCost	rom	Comisioane de plata	date20090213
LangTagFieldPhone	deu	Telefon	date20030301
LangTagFieldPhone	eng	Phone	date20030301
LangTagFieldPhone	rom	Telefon	date20090213
LangTagFieldPID	deu	AuftragsNr	date20041213
LangTagFieldPID	eng	OderNo	date20041213
LangTagFieldPID	rom	Comanda Nr.	date20090213
LangTagFieldPIDLong	deu	Auftragsnummer	date20060105
LangTagFieldPIDLong	eng	Ordernumber	date20060105
LangTagFieldPIDLong	rom	Numarul comenzii	date20090213
LangTagFieldPostage	deu	Versandkosten	date20051103
LangTagFieldPostage	eng	DeliveryCharges	date20051103
LangTagFieldPostage	rom	Costuri de livrare	date20090213
LangTagFieldQuantity	deu	Menge	date20051104
LangTagFieldQuantity	eng	Quantity	date20051104
LangTagFieldQuantity	rom	Cantitate	date20090213
LangTagFieldSender	deu	Absender	date20051103
LangTagFieldSender	eng	Sender	date20051103
LangTagFieldSender	rom	Expeditor	date20090213
LangTagFieldShippingAddress	deu	Abweichende Lieferadresse	date20030301
LangTagFieldShippingAddress	eng	Delivery address	date20030301
LangTagFieldShippingAddress	rom	Adresa alternativa de livrare	date20090213
LangTagFieldShippingAddress2	deu	Adressenzusatz	date20041202
LangTagFieldShippingAddress2	eng	Address 2	date20041202
LangTagFieldShippingAddress2	rom	Adresa (linia 2)	date20090213
LangTagFieldShippingAddressArea	deu	Versandgebiet	date20051103
LangTagFieldShippingAddressArea	eng	ShippingTo	date20051103
LangTagFieldShippingAddressArea	rom	Adresa de livrare	date20090213
LangTagFieldShippingCity	deu	Stadt	date20040325
LangTagFieldShippingCity	eng	Town/City	date20040325
LangTagFieldShippingCity	rom	Localitate	date20090213
LangTagFieldShippingCompany	deu	Lieferfirma	date20041202
LangTagFieldShippingCompany	eng	Shipping company	date20041202
LangTagFieldShippingCompany	rom	Numele firmei unde se face livrarea	date20090213
LangTagFieldShippingEmail	deu	Lieferemail	date20041202
LangTagFieldShippingEmail	eng	ShippingEmail	date20041202
LangTagFieldShippingEmail	rom	E-Mail	date20090213
LangTagFieldShippingFirstName	deu	Vorname	date20040325
LangTagFieldShippingFirstName	eng	First Name	date20040325
LangTagFieldShippingFirstName	rom	Prenume	date20090213
LangTagFieldShippingLastName	deu	Nachname	date20040325
LangTagFieldShippingLastName	eng	Last Name	date20040325
LangTagFieldShippingLastName	rom	Numele dumneavoastra	date20090213
LangTagFieldShippingStreet	deu	Straße	date20040325
LangTagFieldShippingStreet	eng	Address	date20040325
LangTagFieldShippingStreet	rom	Adresa	date20090213
LangTagFieldShippingTitle	deu	Abweichende Lieferadresse	date20040325
LangTagFieldShippingTitle	eng	Delivery Address	date20040325
LangTagFieldShippingTitle	rom	Adresa alternativa de livrare	date20090213
LangTagFieldShippingZipCode	deu	PLZ	date20040325
LangTagFieldShippingZipCode	eng	Postcode/Zipcode	date20040325
LangTagFieldShippingZipCode	rom	Cod postal	date20090213
LangTagFieldShortVat	deu	MwSt	date20051103
LangTagFieldShortVat	eng	VAT	date20051103
