//Key	Language	Translation	creation date yyyymmdd
//  GS ShopBuilder, Copyright (c) 2004 by GS Software AG, Dortmund (www.gs-shopbuilder.com) - Do not remove this copyright notice!		GS ShopBuilder version 3.0.0.3	data20020101
// ©2003 GS ShopBuilder - Droits de traduction réservés pour tous les pays. 			date20020101
// ©2003 GS ShopBuilder - All Rights Reserved.		All translations rights reserved.	date20020101
// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020101
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020101
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020101
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020101	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020101
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020101
// ©2003 GS ShopBuilder - Med eneret.	 	 	date20020101	dk
L_DruckenFormbtnPreviewCaption	deu	&Vorschau...	date20030218
L_DruckenFormbtnPreviewCaption	esp	Vista p&revia...	date20030218
L_DruckenFormbtnPrintCaption	deu	Drucken	date20030218
L_DruckenFormbtnPrintCaption	esp	&Imprimir	date20030218
L_DruckenFormbtnSettingsCaption	deu	Drucker&einstellungen...	date20030218
L_DruckenFormbtnSettingsCaption	esp	&Configuración de la impresora...	date20030218
L_DruckenFormCaption	deu	Katalog drucken	date20030218
L_DruckenFormCaption	esp	Imprimir Catálogo	date20030218
L_DruckenFormGroupBox1Caption	deu	Druckbereich	date20030218
L_DruckenFormGroupBox1Caption	esp	Intervalo de páginas de la impresora	date20030218
L_DruckenFormGroupBox1rbAllesdruckenCaption	deu	&Alles drucken	date20030218
L_DruckenFormGroupBox1rbAllesdruckenCaption	esp	Imprimir todas l&as categorías	date20030218
L_DruckenFormGroupBox1rbnurWarengruppeCaption	deu	Nur &aktuelle Warengruppe drucken	date20030218
L_DruckenFormGroupBox1rbnurWarengruppeCaption	esp	Categoría &actual impresión	date20030218
L_DruckenFormGroupBox2Caption	deu	Optionen	date20030218
L_DruckenFormGroupBox2Caption	esp	Opciones	date20030218
L_DruckenFormGroupBox2CheckBox1Caption	deu	Bilder &drucken	date20030218
L_DruckenFormGroupBox2CheckBox1Caption	esp	Impresión de &imágenes	date20030218
L_DruckenFormGroupBox2CheckBox2Caption	deu	&Beschreibungstexte drucken	date20030218
L_DruckenFormGroupBox2CheckBox2Caption	esp	Imprimir textos Descripción	date20030218
L_DruckenFormGroupBox3Caption	deu	Drucker	date20030218
L_DruckenFormGroupBox3Caption	esp	Impresora	date20030218
L_EditContentFormButton1Caption	deu	Ok	date20030218
L_EditContentFormButton1Caption	esp	Vale	date20030218
L_EditContentFormButton2Caption	deu	Abbrechen	date20030218
L_EditContentFormButton2Caption	esp	Cancelar	date20030218
L_EditContentFormButton3Caption	deu	&Importieren...	date20030218
L_EditContentFormButton3Caption	esp	&Importación...	date20030218
L_EditContentFormButton4Caption	deu	&Exportieren...	date20030218
L_EditContentFormButton4Caption	esp	&Exportación...	date20030218
L_EditContentFormButton5Caption	deu	&Vorschau...	date20030218
L_EditContentFormButton5Caption	esp	Vista previa...	date20030218
L_EditContentFormCaption	deu	Content editieren	date20030218
L_EditContentFormCaption	esp	Editar contenido	date20030218
L_EditContentFormLabel1Caption	deu	Content Name:	date20030218
L_EditContentFormLabel1Caption	esp	Nombre de contenido:	date20030218
L_EditContentFormLabel2Caption	deu	Inhalt:	date20030218
L_EditContentFormLabel2Caption	esp	Contenido:	date20030218
L_EditContentFormOpenDialog1Title	deu	Datei laden	date20030218
L_EditContentFormOpenDialog1Title	esp	Cargar archivo	date20030218
L_EditContentFormPanel11Label34Caption	deu	Content editieren	date20030218
L_EditContentFormPanel11Label34Caption	esp	Editar contenido	date20030218
L_EditContentFormPopupMenu1Bildhinzufgen1Caption	deu	Bild hinzufügen...	date20030218
L_EditContentFormPopupMenu1Bildhinzufgen1Caption	esp	Añadir imagen...	date20030218
L_EditContentFormSaveDialog1Title	deu	Content speichern unter...	date20030218
L_EditContentFormSaveDialog1Title	esp	Almacene contenido en...	date20030218
L_EditContentTagsFormButton1Caption	deu	OK	date20030218
L_EditContentTagsFormButton1Caption	esp	Vale	date20030218
L_EditContentTagsFormCaption	deu	Liste der Keywords	date20030218
L_EditContentTagsFormCaption	esp	Lista de palabras clave	date20030218
L_frmAliasListebtnOKCaption	deu	OK	date20030218
L_frmAliasListebtnOKCaption	esp	Vale	date20030218
L_frmAliasListeCaption	deu	Datenbank-Liste	date20030218
L_frmAliasListeCaption	esp	Lista de bases de datos	date20030218
L_frmEditAusdruckbitnCancelCaption	deu	Abbruch	date20030218
L_frmEditAusdruckbitnCancelCaption	esp	Cancelar	date20030218
L_frmEditAusdruckbitnOkCaption	deu	OK	date20030218
L_frmEditAusdruckbitnOkCaption	esp	Vale	date20030218
L_frmEditAusdruckButton1Caption	deu	Hilfe	date20030218
L_frmEditAusdruckButton1Caption	esp	Ayuda	date20030218
L_frmEditAusdruckCaption	deu	Ausdruck bearbeiten	date20030218
L_frmEditAusdruckCaption	esp	Editar expresión	date20030218
L_frmEditAusdruckLabel1Caption	deu	Geben Sie hier einen Zeichenkettenausdruck an,	date20030218
L_frmEditAusdruckLabel1Caption	esp	Introduzca aquí una expresión de signo de cadena	date20030218
L_frmEditAusdruckLabel2Caption	deu	mit dem bestimmt wird, wie die Daten für das Zielfeld	date20030218
L_frmEditAusdruckLabel2Caption	esp	que determina cómo los archivos para el campo de destino	date20030218
L_frmEditAusdruckLabel3Caption	deu	Zielfeld	date20030218
L_frmEditAusdruckLabel3Caption	esp	Campo de destino	date20030218
L_frmEditAusdruckLabel4Caption	deu	zusammengesetz werden soll, z.B:	date20030218
L_frmEditAusdruckLabel4Caption	esp	debe estar compuesto, por ejemplo:	date20030218
L_frmEditAusdruckLabel5Caption	deu	Kategorie+#39|#39+Warengruppe	date20030218
L_frmEditAusdruckLabel5Caption	esp	Categoría+#39|#39+categoría	date20030218
L_frmTablesbtnCancelCaption	deu	Abbrechen	date20030218
L_frmTablesbtnCancelCaption	esp	Cancelar	date20030218
L_frmTablesbtnOkCaption	deu	OK	date20030218
L_frmTablesbtnOkCaption	esp	Vale	date20030218
L_frmTablesCaption	deu	Tabellenauswahl 	date20030218
L_frmTablesCaption	esp	Seleccione una tabla	date20030218
L_frmTextImportbitnCancelCaption	deu	Abbrechen	date20030218
L_frmTextImportbitnCancelCaption	esp	Cancelar	date20030218
L_frmTextImportbitnOkCaption	deu	OK	date20030218
L_frmTextImportbitnOkCaption	esp	Vale	date20030218
L_frmTextImportCaption	deu	Einstellungen für Textimport	date20030218
L_frmTextImportCaption	esp	Ajustes para la importación de texto	date20030218
L_frmTextImportcbxColumnHeaderCaption	deu	Feldnamen in erster &Zeile	date20030218
L_frmTextImportcbxColumnHeaderCaption	esp	Nombres de campo de primera línea	date20030218
L_frmTextImportgrbxEinstellungCaption	deu	Einstellungen	date20030218
L_frmTextImportgrbxEinstellungCaption	esp	Configuración	date20030218
L_frmTextImportgrbxEinstellungLabel1Caption	deu	&Feldbegrenzer:	date20030218
L_frmTextImportgrbxEinstellungLabel1Caption	esp	&Delimitador de campo	date20030218
L_frmTextImportgrbxEinstellungLabel4Caption	deu	&ACSII-Wert:	date20030218
L_frmTextImportgrbxEinstellungLabel4Caption	esp	&Valor ASCII:	date20030218
L_frmTextImportLabel2Caption	deu	Textinhalt:	date20030218
L_frmTextImportLabel2Caption	esp	Contenido de texto:	date20030218
L_frmTextImportLabel3Caption	deu	Spaltennamen	date20030218
L_frmTextImportLabel3Caption	esp	Nombres de columna:	date20030218
L_FTPFormButton1Caption	deu	Abbrechen	date20030218
L_FTPFormButton1Caption	esp	Cancelar	date20030218
L_FTPFormButton3Caption	deu	Protokoll...	date20030218
L_FTPFormButton3Caption	esp	Protocolo...	date20030218
L_FTPFormCaption	deu	FTP Übertragung	date20030218
L_FTPFormCaption	esp	Transferencia FTP	date20030218
L_FTPFormcbAllfilesCaption	deu	&Alle Dateien übertragen	date20030218
L_FTPFormcbAllfilesCaption	esp	&Todos los datos de la transferencia	date20030218
L_FTPFormcbKillAllCaption	deu	Vor der Übertragung alle Dateien auf dem Server &löschen	date20030218
L_FTPFormcbKillAllCaption	esp	Eliminar todos los datos en el servidor web antes de la transferencia	date20030218
L_FTPFormPanel1Label11Caption	deu	Verzeichnis: 	date20030218
L_FTPFormPanel1Label11Caption	esp	Directorio: 	date20030218
L_FTPFormPanel1Label5Caption	deu	KBytes:	date20030218
L_FTPFormPanel1Label5Caption	esp	KBytes:	date20030218
L_FTPFormPanel1Label6Caption	deu	KBytes insgesamt:	date20030218
L_FTPFormPanel1Label6Caption	esp	KBytes in total:	date20030218
L_FTPFormPanel1Label7Caption	deu	Dateiname:	date20030218
L_FTPFormPanel1Label7Caption	esp	Nombre de archivo:	date20030218
L_FTPFormPanel1Label8Caption	deu	Status:	date20030218
L_FTPFormPanel1Label8Caption	esp	Estado:	date20030218
L_FTPFormPanel1Label9Caption	deu	von:	date20030218
L_FTPFormPanel1Label9Caption	esp	de:	date20030218
L_FTPFormTransmitButtonCaption	deu	Übertragung starten	date20030218
L_FTPFormTransmitButtonCaption	esp	Iniciar transferencia	date20030218
L_GetURLButton2Caption	deu	OK	date20030218
L_GetURLButton2Caption	esp	Vale	date20030218
L_GetURLButton3Caption	deu	Abbrechen	date20030218
L_GetURLButton3Caption	esp	Cancelar	date20030218
L_GetURLButton4Caption	deu	&Vorschau im Browser...	date20030218
L_GetURLButton4Caption	esp	&Vista previa en el navegador...	date20030218
L_GetURLCaption	deu	Link anlegen	date20030218
L_GetURLCaption	esp	Crear vínculo	date20030218
L_GetURLGroupBox1RadioButton1Caption	deu	Link auf eine lokale Datei 	date20030218
L_GetURLGroupBox1RadioButton1Caption	esp	Enlace a un archivo local	date20030218
L_GetURLGroupBox1RadioButton2Caption	deu	Link auf eine Adresse im Internet	date20030218
L_GetURLGroupBox1RadioButton2Caption	esp	Enlace a una dirección en internet	date20030218
L_GetURLGroupBox2Button1Caption	deu	&Durchsuchen...	date20030218
L_GetURLGroupBox2Button1Caption	esp	&Búsqueda de...	date20030218
L_GetURLGroupBox2Label1Caption	deu	Link auf lokale Seite (z.B. C:\abcd.htm). Die referenzierte Datei wird  in das Onlineshop-Verzeichnis Files kopiert.	date20030218
L_GetURLGroupBox2Label1Caption	esp	Enlace a la página local (p. ej. C:\abcd.htm). El archivo se copia en el online tienda directorio archivos.	date20030218
L_GetURLGroupBox2Label2Caption	deu	Link auf eine Adresse im Internet (z.B. http://www.example.com)	date20030218
L_GetURLGroupBox2Label2Caption	esp	Enlace a una dirección en internet (p. ej. http://www.shopcity24.de)	date20030218
L_HinweisCaption	deu	Hinweis	date20030218
L_HinweisCaption	esp	Nota	date20030218
L_HinweisStaticText1Caption	deu	Bitte warten, die Datenbank wird initialisiert.	date20030218
L_HinweisStaticText1Caption	esp	Por favor espere, se está instalando la base de datos.	date20030218
L_ImageBrowser1Caption	deu	Bild auswählen	date20030218
L_ImageBrowser1Caption	esp	Por favor, seleccione	date20030218
L_ImageBrowser1Panel2btnSettingsCaption	deu	Einstellungen...	date20030218
L_ImageBrowser1Panel2btnSettingsCaption	esp	Configuración...	date20030218
L_ImageBrowser1Panel2Button2Caption	deu	Abbrechen	date20030218
L_ImageBrowser1Panel2Button2Caption	esp	Cancelar	date20030218
L_ImageBrowser1Panel2Button3Caption	deu	OK	date20030218
L_ImageBrowser1Panel2Button3Caption	esp	Vale	date20030218
L_ImageBrowser1Panel3Panel9Caption	deu	Panel9	date20030218
L_ImageBrowser1Panel3Panel9Caption	esp	Panel9	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel28Label19Caption	deu	B:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel28Label19Caption	esp	A:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel29Label20Caption	deu	H:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel29Label20Caption	esp	A:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel30Label21Caption	deu	Z:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel30Label21Caption	esp	Z:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel30Label22Caption	deu	%	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel30Label22Caption	esp	%	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel31Label23Caption	deu	Kopie	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel31Label23Caption	esp	Copia	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel32Button6Caption	deu	...	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel32Button6Caption	esp	...	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel32Hint	deu	Qualität der JPEG Kompression und Größe der komprimierten Datei	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel32Hint	esp	Calidad de compresión JPEG y de tamaño de archivos comprimidos	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel32Label24Caption	deu	JPG:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel32Label24Caption	esp	JPG:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel32Label25Caption	deu	999,5 kB	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel32Label25Caption	esp	999,5 kB	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Hint	deu	Maximale Breite und Höhe	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Hint	esp	Altura y la anchura máxima	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Label26Caption	deu	B:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Label26Caption	esp	A:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Label27Caption	deu	H:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Label27Caption	esp	A:	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Label30Caption	deu	1000	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Label30Caption	esp	1000	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Label31Caption	deu	1000	date20030218
L_ImageBrowser1Panel3Panel9Panel12Panel15Panel27Panel33Label31Caption	esp	1000	date20030218
L_ImageBrowser1Panel4Panel6FileListBox1Hint	deu	Bild übernehmen mit Doppelklick	date20030218
L_ImageBrowser1Panel4Panel6FileListBox1Hint	esp	Aceptar la imagen mediante doble clic	date20030218
L_ImageBrowser1PopupMenu1Helligkeit1Caption	deu	&Helligkeit	date20030218
L_ImageBrowser1PopupMenu1Helligkeit1Caption	esp	&Brillo	date20030218
L_ImageBrowser1PopupMenu1Helligkeit1Dunkler1Caption	deu	&Dunkler	date20030218
L_ImageBrowser1PopupMenu1Helligkeit1Dunkler1Caption	esp	&Más oscuro	date20030218
L_ImageBrowser1PopupMenu1Helligkeit1Heller1Caption	deu	&Heller	date20030218
L_ImageBrowser1PopupMenu1Helligkeit1Heller1Caption	esp	&Más brillante	date20030218
L_ImageBrowser1PopupMenu1JPEGVorschau1Caption	deu	JPEG &Vorschau	date20030218
L_ImageBrowser1PopupMenu1JPEGVorschau1Caption	esp	Vista previa JPEG	date20030218
L_ImageBrowser1PopupMenu1Kontrast1Caption	deu	&Kontrast	date20030218
L_ImageBrowser1PopupMenu1Kontrast1Caption	esp	&Contraste	date20030218
L_ImageBrowser1PopupMenu1Kontrast1erhhen1Caption	deu	&verringern	date20030218
L_ImageBrowser1PopupMenu1Kontrast1erhhen1Caption	esp	&reducir	date20030218
L_ImageBrowser1PopupMenu1Kontrast1erhhen2Caption	deu	&erhöhen	date20030218
L_ImageBrowser1PopupMenu1Kontrast1erhhen2Caption	esp	&aumento	date20030218
L_ImageBrowser1PopupMenu1N1Caption	deu	-	date20030218
L_ImageBrowser1PopupMenu1N1Caption	esp	-	date20030218
L_ImageBrowser1PopupMenu1N2Caption	deu	-	date20030218
L_ImageBrowser1PopupMenu1N2Caption	esp	-	date20030218
L_ImageBrowser1PopupMenu1Schnellkorrektur1Caption	deu	Schnellko&rrektur	date20030218
L_ImageBrowser1PopupMenu1Schnellkorrektur1Caption	esp	Corrección automática	date20030218
L_ImageBrowser1PopupMenu1Schrfe1Caption	deu	&Schärfen	date20030218
L_ImageBrowser1PopupMenu1Schrfe1Caption	esp	&Afilar	date20030218
L_ImageBrowser1PopupMenu1Weichzeichnen1Caption	deu	&Weichzeichnen	date20030218
L_ImageBrowser1PopupMenu1Weichzeichnen1Caption	esp	&Lisa	date20030218
L_ImageBrowser1PopupMenu1Zoom1Caption	deu	&Zoom	date20030218
L_ImageBrowser1PopupMenu1Zoom1Caption	esp	&Zoom	date20030218
L_ImageBrowser1PopupMenu1Zoom1N1001Caption	deu	100%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N1001Caption	esp	100%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N101Caption	deu	10%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N101Caption	esp	10%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N1501Caption	deu	150%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N1501Caption	esp	150%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N2001Caption	deu	200%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N2001Caption	esp	200%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N251Caption	deu	25%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N251Caption	esp	25%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N4001Caption	deu	400%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N4001Caption	esp	400%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N501Caption	deu	50%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N501Caption	esp	50%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N751Caption	deu	75%	date20030218
L_ImageBrowser1PopupMenu1Zoom1N751Caption	esp	75%	date20030218
L_ImageBrowser1PopupMenu1Zoom1passend2Caption	deu	passend	date20030218
L_ImageBrowser1PopupMenu1Zoom1passend2Caption	esp	apropiado	date20030218
L_ImageBrowser1PopupMenu2bernehmenfralleBilder1Caption	deu	&Bild übernehmen	date20030218
L_ImageBrowser1PopupMenu2bernehmenfralleBilder1Caption	esp	&Aceptar la imagen	date20030218
L_ImageBrowser1PopupMenu2MenuItem1Caption	deu	&Zoom	date20030218
L_ImageBrowser1PopupMenu2MenuItem1Caption	esp	&Zoom	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem2Caption	deu	10%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem2Caption	esp	10%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem3Caption	deu	25%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem3Caption	esp	25%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem4Caption	deu	50%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem4Caption	esp	50%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem5Caption	deu	75%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem5Caption	esp	75%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem6Caption	deu	100%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem6Caption	esp	100%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem7Caption	deu	150%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem7Caption	esp	150%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem8Caption	deu	200%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem8Caption	esp	200%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem9Caption	deu	400%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1MenuItem9Caption	esp	400%	date20030218
L_ImageBrowser1PopupMenu2MenuItem1passend1Caption	deu	passend	date20030218
L_ImageBrowser1PopupMenu2MenuItem1passend1Caption	esp	apropiado	date20030218
L_ImageBrowser1PopupMenu2N4Caption	deu	-	date20030218
L_ImageBrowser1PopupMenu2N4Caption	esp	-	date20030218
L_ImageBrowserCaption	deu	Bild auswählen	date20030218
L_ImageBrowserCaption	esp	Selecciona la imagen	date20030218
L_ImageBrowserPanel2btnSettingsCaption	deu	Einstellungen...	date20030218
L_ImageBrowserPanel2btnSettingsCaption	esp	Configuración...	date20030218
L_ImageBrowserPanel2Button2Caption	deu	Abbrechen	date20030218
L_ImageBrowserPanel2Button2Caption	esp	Cancelar	date20030218
L_ImageBrowserPanel2Button3Caption	deu	OK	date20030218
L_ImageBrowserPanel2Button3Caption	esp	Vale	date20030218
L_ImageBrowserPanel3Panel9Caption	deu	Panel9	date20030218
L_ImageBrowserPanel3Panel9Caption	esp	Panel9	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel10Button4Caption	deu	...	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel10Button4Caption	esp	...	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel10Hint	deu	Qualität der JPEG Kompression und Größe der komprimierten Datei	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel10Hint	esp	Calidad de compresión JPEG y el tamaño del archivo comprimido	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel10Label1Caption	deu	JPG:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel10Label1Caption	esp	JPG:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel10Label4Caption	deu	999,5 kB	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel10Label4Caption	esp	999,5 kB	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel16Label9Caption	deu	B:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel16Label9Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel17Label10Caption	deu	H:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel17Label10Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel18Label11Caption	deu	Z:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel18Label11Caption	esp	Z:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel18Label12Caption	deu	%	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel18Label12Caption	esp	%	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Hint	deu	Maximale Breite und Höhe	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Hint	esp	Altura y la anchura máxima	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Label28Caption	deu	1000	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Label28Caption	esp	1000	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Label29Caption	deu	1000	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Label29Caption	esp	1000	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Label2Caption	deu	B:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Label2Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Label3Caption	deu	H:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel19Label3Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel8Label5Caption	deu	Klein	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel13Panel7Panel8Label5Caption	esp	Pequeño	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel21Label6Caption	deu	B:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel21Label6Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel22Label7Caption	deu	H:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel22Label7Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel23Label13Caption	deu	%	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel23Label13Caption	esp	%	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel23Label8Caption	deu	Z:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel23Label8Caption	esp	Z:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel24Label14Caption	deu	Groß	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel24Label14Caption	esp	Grande	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel25Button5Caption	deu	...	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel25Button5Caption	esp	...	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel25Hint	deu	Qualität der JPEG Kompression und Größe der komprimierten Datei	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel25Hint	esp	Calidad de compresión JPEG y el tamaño del archivo comprimido	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel25Label15Caption	deu	JPG:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel25Label15Caption	esp	JPG:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel25Label16Caption	deu	999,5 kB	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel25Label16Caption	esp	999,5 kB	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Hint	deu	Maximale Breite und Höhe	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Hint	esp	Altura y la anchura máxima	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Label17Caption	deu	B:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Label17Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Label18Caption	deu	H:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Label18Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Label32Caption	deu	1000	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Label32Caption	esp	1000	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Label33Caption	deu	1000	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel14Panel20Panel26Label33Caption	esp	1000	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel15Panel27Panel28Label19Caption	deu	B:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel15Panel27Panel28Label19Caption	esp	A:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel15Panel27Panel29Label20Caption	deu	H:	date20030218
L_ImageBrowserPanel3Panel9Panel12Panel15Panel27Panel29Label20Caption	esp	A:	date20030218
